wilayah,tahun,bulan,hujan_mm,HTH_hari,hujan_normal_mm,rasio_hujan_terhadap_normal,sifat_hujan,KAT_value,KAT_normal,rasio_KAT_terhadap_normal,produksi_padi_bulanan,luas_panen_bulanan,tanggal,hujan_score,HTH_score,KAT_score,climate_score,freq_penurunan,volatilitas,historical_score,final_score,risk_label,risk_label_bulan_depan,final_score_bulan_depan,hujan_mm_lag1,hujan_mm_roll3,rasio_hujan_terhadap_normal_lag1,rasio_hujan_terhadap_normal_roll3,HTH_hari_lag1,HTH_hari_roll3,rasio_KAT_terhadap_normal_lag1,rasio_KAT_terhadap_normal_roll3,climate_score_lag1,climate_score_roll3,faktor_dominan,rekomendasi_aksi
GRESIK,2026,3,295.0348424551445,1,269.2964613996541,1.09557638047569,N,381.2276124051568,396.8159056424317,0.9934380267362024,,,2026-03-01,0,0,1,1,0.2857142857142857,0.1121941454745551,2,3,medium,,,335.78513812854163,327.3701441703452,1.1513852843012404,1.0900045721755185,3.0,2.0,1.015156023956742,1.020907241003722,1.0,0.6666666666666666,Sensitivitas historis wilayah,Lakukan monitoring berkala dan validasi kondisi lapangan pada wilayah rentan.
JEMBER,2026,1,433.2475665705704,2,367.2898767534389,1.1824975352907694,AN,643.7541407868065,597.2513001891705,1.0843385690144869,,,2026-01-01,0,0,0,0,0.1428571428571428,0.037933977912376,0,0,low,low,0.0,434.445099948918,465.73242927912224,1.178117603012578,1.481940360861584,3.0,2.0,1.210879844339397,1.2178442120932125,0.0,0.0,Tidak ada faktor dominan ekstrem,Pantau rutin; belum membutuhkan intervensi prioritas.
JEMBER,2026,2,542.7419528123278,1,358.0582073866941,1.516350196592226,AN,660.4074145937095,617.7788193670881,1.0752011244528747,,,2026-02-01,0,0,0,0,0.1428571428571428,0.037933977912376,0,0,low,low,2.0,433.2475665705704,470.1448731106054,1.1824975352907694,1.2923217782985246,2.0,2.0,1.0843385690144869,1.1234731792689197,0.0,0.0,Tidak ada faktor dominan ekstrem,Pantau rutin; belum membutuhkan intervensi prioritas.
JEMBER,2026,3,355.3416628894133,6,327.6597030190763,1.0838141780087256,N,644.4107996508062,622.4324914297615,1.03994673041168,,,2026-03-01,0,1,1,2,0.1428571428571428,0.037933977912376,0,2,low,,,542.7419528123278,443.7770607574371,1.516350196592226,1.2608873032972403,1.0,3.0,1.0752011244528747,1.066495474626347,0.0,0.6666666666666666,"HTH panjang, Ketersediaan air rendah",Pantau rutin; belum membutuhkan intervensi prioritas.
JOMBANG,2026,1,330.0881998749425,2,338.1720249445992,0.976095523954174,N,432.249782061336,408.02054665305405,1.0609199359964887,,,2026-01-01,0,0,0,0,0.1428571428571428,0.054099526418025,0,0,low,low,1.0,373.23591659496975,353.99689816684185,1.232385065370088,1.46324757206911,1.0,1.0,1.2090111894672004,1.2680329775177084,0.0,0.0,Tidak ada faktor dominan ekstrem,Pantau rutin; belum membutuhkan intervensi prioritas.
JOMBANG,2026,2,452.7848134030846,0,369.87408378128873,1.224159337616155,AN,435.116627394551,425.6559614701705,1.0232795234435907,,,2026-02-01,0,0,1,1,0.1428571428571428,0.054099526418025,0,1,low,low,1.0,330.0881998749425,385.36964329099897,0.976095523954174,1.144213308980139,2.0,1.0,1.0609199359964887,1.0977368829690934,0.0,0.3333333333333333,Ketersediaan air rendah,Pantau rutin; belum membutuhkan intervensi prioritas.
JOMBANG,2026,3,358.47865038100133,2,324.9919339965808,1.1030386076744072,N,424.3318716492316,428.3260778561988,0.991927757081313,,,2026-03-01,0,0,1,1,0.1428571428571428,0.054099526418025,0,1,low,,,452.7848134030846,380.4505545530095,1.224159337616155,1.1010978230815789,0.0,1.3333333333333333,1.0232795234435907,1.025375738840464,1.0,0.6666666666666666,Ketersediaan air rendah,Pantau rutin; belum membutuhkan intervensi prioritas.
KEDIRI,2026,1,381.1747683159891,2,325.1438591313555,1.1722977323411148,AN,551.6654986585307,533.6128219495811,1.0395554145361223,,,2026-01-01,0,0,1,1,0.4285714285714285,0.0749756342364645,2,3,medium,medium,3.0,345.71441314403774,363.0456659718204,1.1593099816327777,1.5212342759442985,3.0,2.0,1.129533248246671,1.1899021909907528,0.0,0.3333333333333333,Sensitivitas historis wilayah,Lakukan monitoring berkala dan validasi kondisi lapangan pada wilayah rentan.
KEDIRI,2026,2,463.40003646993273,0,342.8476320764237,1.351952270173188,AN,559.6895368027211,549.1229841965895,1.0220670065987678,,,2026-02-01,0,0,1,1,0.4285714285714285,0.0749756342364645,2,3,medium,medium,3.0,381.1747683159891,396.76307264331984,1.1722977323411148,1.2278533280490265,2.0,1.6666666666666667,1.0395554145361223,1.0637185564605205,1.0,0.6666666666666666,Sensitivitas historis wilayah,Lakukan monitoring berkala dan validasi kondisi lapangan pada wilayah rentan.
KEDIRI,2026,3,366.8876966327916,2,326.9352498643132,1.1222218654665104,N,549.8165733206986,549.0458177224184,1.0020230041751568,,,2026-03-01,0,0,1,1,0.4285714285714285,0.0749756342364645,2,3,medium,,,463.40003646993273,403.8208338062378,1.351952270173188,1.2154906226602709,0.0,1.3333333333333333,1.0220670065987678,1.0212151417700157,1.0,1.0,Sensitivitas historis wilayah,Lakukan monitoring berkala dan validasi kondisi lapangan pada wilayah rentan.
LAMONGAN,2026,1,304.34197925435114,2,313.66137981313693,0.970288339086126,N,525.6450769994167,487.4780004357779,1.0368167243328053,,,2026-01-01,0,0,1,1,0.5714285714285714,0.0848904007795691,2,3,medium,medium,3.0,336.06360706508184,332.64283381476434,1.182043380720918,1.4648112659194032,1.0,1.0,1.1705456967903156,1.1983014193487578,0.0,0.3333333333333333,Sensitivitas historis wilayah,Lakukan monitoring berkala dan validasi kondisi lapangan pada wilayah rentan.
