ADM2_NAME,tahun,bulan,total_hujan,max_hth,nilai_normal_30th,anomali_persen,sifat_hujan_30th,kat_value,kat_normal,kat_anomaly_pct,produksi_ton,luas_panen_hektar
PROBOLINGGO,2022,7,50.20345147399735,21,51.127797391179584,98.19208734905976,N,517.0387060501996,436.1499632106109,119.84008576370546,0,1757.42
PROBOLINGGO,2022,7,50.20345147399735,21,51.127797391179584,98.19208734905976,N,517.0387060501996,436.1499632106109,119.84008576370546,0,0.0
PROBOLINGGO,2022,8,44.84751120416939,17,21.185176173897062,211.6928876873229,AN,461.2381261376774,382.29993247985846,122.0106677399756,11313.32,2122.09
PROBOLINGGO,2022,8,44.84751120416939,17,21.185176173897062,211.6928876873229,AN,461.2381261376774,382.29993247985846,122.0106677399756,11313.32,0.0
PROBOLINGGO,2022,8,44.84751120416939,17,21.185176173897062,211.6928876873229,AN,461.2381261376774,382.29993247985846,122.0106677399756,0,2122.09
PROBOLINGGO,2022,8,44.84751120416939,17,21.185176173897062,211.6928876873229,AN,461.2381261376774,382.29993247985846,122.0106677399756,0,0.0
PROBOLINGGO,2022,9,45.93503241126287,21,19.717772164523023,232.962588410018,AN,419.22630882263184,342.2819124109605,123.8605272196478,10317.5,1713.35
PROBOLINGGO,2022,9,45.93503241126287,21,19.717772164523023,232.962588410018,AN,419.22630882263184,342.2819124109605,123.8605272196478,10317.5,14.92
PROBOLINGGO,2022,9,45.93503241126287,21,19.717772164523023,232.962588410018,AN,419.22630882263184,342.2819124109605,123.8605272196478,71.25,1713.35
PROBOLINGGO,2022,9,45.93503241126287,21,19.717772164523023,232.962588410018,AN,419.22630882263184,342.2819124109605,123.8605272196478,71.25,14.92
PROBOLINGGO,2022,10,343.60563218192425,3,97.09377874700836,353.8904723002259,AN,465.3314467037425,330.3009221133064,143.2534908470925,6778.35,1125.63
PROBOLINGGO,2022,10,343.60563218192425,3,97.09377874700836,353.8904723002259,AN,465.3314467037425,330.3009221133064,143.2534908470925,6778.35,46.35
PROBOLINGGO,2022,10,343.60563218192425,3,97.09377874700836,353.8904723002259,AN,465.3314467037425,330.3009221133064,143.2534908470925,221.33,1125.63
PROBOLINGGO,2022,10,343.60563218192425,3,97.09377874700836,353.8904723002259,AN,465.3314467037425,330.3009221133064,143.2534908470925,221.33,46.35
PROBOLINGGO,2022,11,437.9155713276312,6,179.951673572073,243.35176363460727,AN,560.3552043017219,368.2420304242303,154.57726462097253,5087.18,844.79
PROBOLINGGO,2022,11,437.9155713276312,6,179.951673572073,243.35176363460727,AN,560.3552043017219,368.2420304242303,154.57726462097253,5087.18,0.0
PROBOLINGGO,2022,11,437.9155713276312,6,179.951673572073,243.35176363460727,AN,560.3552043017219,368.2420304242303,154.57726462097253,0,844.79
